no,seri,isin,jenis_instrumen,pasar,kategori_gss,tema,tanggal_emisi,mata_uang,nominal,nominal_usd_setara,tenor,kupon_yield,framework_induk,sumber,catatan
13,PBSG 001 (emisi-1),,Project Based Sukuk Green (wholesale),Domestik Wholesale,Green,Green,2022-09,IDR,6.73 triliun,,7 tahun,6.625% p.a (fixed),SDG Government Securities Framework 2021,2024 Green Sukuk Allocation & Impact Report,Green sukuk wholesale domestik
14,PBSG 001 (emisi-2),,Project Based Sukuk Green (wholesale),Domestik Wholesale,Green,Green,2023,IDR,15.49 triliun,,6 tahun,6.625% p.a (fixed),SDG Government Securities Framework 2021,2024 Green Sukuk Allocation & Impact Report,Reopening sepanjang Jan-Des 2023
15,SNI 0754 (Global Green Sukuk seri-7),USY68613AC56,Sukuk Negara (SNI),Global,Green,Green,2024-07-02,USD,600 juta,0.60 miliar,30 tahun,5.50%,SDG Government Securities Framework 2021,2025 Green Sukuk Allocation & Impact Report,Emisi green sukuk ke-7; 100% financing proyek FY2024
16,ST-012T4,IDJ000030903,Sukuk Tabungan (ritel),Domestik Ritel,Green,Green,2024-06,IDR,5.08 triliun,,4 tahun,6.55% (floating w/ floor),SDG Government Securities Framework 2021,2025 Green Sukuk Allocation & Impact Report,100% refinancing proyek FY2023
17,ST-013T4,IDJ000033709,Sukuk Tabungan (ritel),Domestik Ritel,Green,Green,2024-12,IDR,4.84 triliun,,4 tahun,6.55% (floating w/ floor),SDG Government Securities Framework 2021,2025 Green Sukuk Allocation & Impact Report,80% refinancing FY2023 + 20% financing FY2024
18,PBSG 001 (emisi-3),IDP000005308,Project Based Sukuk Green (wholesale),Domestik Wholesale,Green,Green,2024-06,IDR,8.95 triliun,,4 tahun,6.55% (floating w/ floor),SDG Government Securities Framework 2021,2025 Green Sukuk Allocation & Impact Report,100% refinancing FY2023; infografis milestone laporan tertulis 5thn/6.625% (diskrepansi sumber)
19,Sovereign Blue Bond 2023 (Samurai),,Surat Utang Negara (Samurai bond),Global (Jepang),Sustainability,Blue,2023-05,JPY,20.7 miliar,~0.15 miliar,7 & 10 tahun,1.2% / 1.43%,SDG Government Securities Framework 2021,Siaran pers DJPPR / UNDP,Blue bond sovereign publik pertama di dunia; tema kelautan
20,FRSDG001,,Surat Utang Negara (SDG bond domestik),Domestik Institusi,Sustainability,SDG (Sosial+Hijau),2024,IDR,3.30 triliun,,6-7 tahun,7.375%,SDG Government Securities Framework 2021,2025 SDG Bond & Blue Bond Allocation & Impact Report,Agregat 4 tranche (1 Feb/30 Mei/8 Agu/31 Okt 2024); jatuh tempo 15 Okt 2030
21,RIEUR0932,,Surat Utang Negara (EUR SDG bond),Global,Sustainability,SDG (Sosial+Hijau),2024-09-10,EUR,750 juta,~0.79 miliar,8 tahun,3.65%,SDG Government Securities Framework 2021,2025 SDG Bond & Blue Bond Allocation & Impact Report,Setara IDR 12.81 t; porsi terbesar SDG Bond 2024
22,ORI026T6,,Obligasi Negara Ritel (SDG-themed),Domestik Ritel,Sustainability,SDG (Sosial+Hijau),2024-10-30,IDR,3.04 triliun,,6 tahun,6.40%,SDG Government Securities Framework 2021,2025 SDG Bond & Blue Bond Allocation & Impact Report,Total SDG Bond 2024 = IDR 19.15 t (~USD 1.28 miliar)
23,RIJPY0531B (Blue Bond 2024),,Surat Utang Negara (Samurai bond),Global (Jepang),Sustainability,Blue,2024-05-27,JPY,2.0 miliar,,7 tahun,1.57%,SDG Government Securities Framework 2021,2025 SDG Bond & Blue Bond Allocation & Impact Report,Tranche institusi; jatuh tempo 27 Mei 2031
24,RIJPY0534B (Blue Bond 2024),,Surat Utang Negara (Samurai bond),Global (Jepang),Sustainability,Blue,2024-05-27,JPY,6.8 miliar,,10 tahun,1.91%,SDG Government Securities Framework 2021,2025 SDG Bond & Blue Bond Allocation & Impact Report,Tranche ritel; jatuh tempo 26 Mei 2034
25,RIJPY0544 (Blue Bond 2024),,Surat Utang Negara (Samurai bond),Global (Jepang),Sustainability,Blue,2024-05-27,JPY,16.2 miliar,,20 tahun,2.55%,SDG Government Securities Framework 2021,2025 SDG Bond & Blue Bond Allocation & Impact Report,Tranche internasional; total Blue Bond 2024 = JPY 25 miliar (~IDR 2.56 t)
