issuer,gold,pred_rule,pred_ml,rule_class,ml_class,ml_title_gss,ml_framing_body,ml_framing_title,ml_thresh,ml_top_env,ml_top_soc,ml_maxscore,ml_conf,pdf
IIFF,GSS,NonGSS,GSS,obligasi_biasa,green,True,,Surat Berharga Perpetual Berwawasan Ling,0.28,renewable_energy:0.33|climate_resilience:0.29,food_security:0.33|employment_msme:0.29|socioeconomic:0.28,0.332,0.7,20260622_IIFF_Penyampaian Bukti Iklan_32103240_lamp1.pdf
OPPM,GSS,GSS,GSS,green,green,True,berwawasan lingkungan,Obligasi Berwawasan Lingkungan Berkelanj,0.28,renewable_energy:0.59|waste_management:0.52|energy_efficiency:0.47|green_building:0.39|natural_resources:0.38|water_management:0.36|green_tourism:0.34|sustainable_transport:0.33|climate_resilience:0.29,affordable_housing:0.48|basic_infrastructure:0.45|food_security:0.41|socioeconomic:0.40|employment_msme:0.37|essential_services:0.29,0.594,0.82,20230915_OPPM_Penyampaian Bukti Iklan_31410745_lamp2.pdf
OPPM,GSS,NonGSS,GSS,obligasi_biasa,green,True,berwawasan lingkungan,Obligasi Berwawasan Lingkungan Berkelanj,0.28,,food_security:0.29,0.291,0.7,20230929_OPPM_Penyampaian Bukti Iklan_31423658.pdf
OPPM,GSS,GSS,GSS,green,green,True,berwawasan lingkungan,Obligasi Berwawasan Lingkungan Berkelanj,0.28,renewable_energy:0.59|waste_management:0.52|energy_efficiency:0.47|green_building:0.39|natural_resources:0.38|water_management:0.36|green_tourism:0.34|sustainable_transport:0.33|climate_resilience:0.29,affordable_housing:0.49|basic_infrastructure:0.45|food_security:0.42|socioeconomic:0.40|employment_msme:0.37|essential_services:0.29,0.593,0.82,20230929_OPPM_Penyampaian Bukti Iklan_31423658_lamp2.pdf
OPPM,GSS,GSS,GSS,social,green,True,berwawasan lingkungan,Obligasi Berwawasan Lingkungan Berkelanj,0.28,,,0.119,0.7,20231010_OPPM_Penyampaian Bukti Iklan_31447570_lamp2.pdf
OPPM,GSS,GSS,GSS,green,green,True,berwawasan lingkungan|green bond,Obligasi Berwawasan Lingkungan Berkelanj,0.28,energy_efficiency:0.57|green_building:0.53|natural_resources:0.51|renewable_energy:0.49|green_tourism:0.48|waste_management:0.47|water_management:0.44|climate_resilience:0.44,employment_msme:0.44|basic_infrastructure:0.42|food_security:0.40|essential_services:0.35|socioeconomic:0.33|affordable_housing:0.28,0.574,0.88,20231123_OPPM_Laporan Informasi dan Fakta Material_31531676_lamp2.pdf
OPPM,GSS,NonGSS,GSS,obligasi_biasa,green,True,berwawasan lingkungan,Obligasi Berwawasan Lingkungan Berkelanj,0.28,,essential_services:0.31,0.306,0.7,20231208_OPPM_Laporan Informasi dan Fakta Material_31547469_lamp2.pdf
OPPM,GSS,GSS,GSS,green,green,True,berwawasan lingkungan|green bond,Obligasi Berwawasan Lingkungan Berkelanj,0.28,energy_efficiency:0.57|green_building:0.53|natural_resources:0.51|renewable_energy:0.49|green_tourism:0.48|waste_management:0.47|water_management:0.44|climate_resilience:0.44,employment_msme:0.44|basic_infrastructure:0.42|food_security:0.40|essential_services:0.35|socioeconomic:0.33|affordable_housing:0.28,0.574,0.88,20240308_OPPM_Laporan Informasi dan Fakta Material_31595190_lamp2.pdf
OPPM,GSS,GSS,GSS,green,green,True,berwawasan lingkungan|green bond,Obligasi Berwawasan Lingkungan Berkelanj,0.28,energy_efficiency:0.57|green_building:0.53|natural_resources:0.51|renewable_energy:0.49|green_tourism:0.48|waste_management:0.47|water_management:0.44|climate_resilience:0.44,employment_msme:0.44|basic_infrastructure:0.42|food_security:0.40|essential_services:0.35|socioeconomic:0.33|affordable_housing:0.28,0.574,0.88,20240322_OPPM_Laporan Informasi dan Fakta Material_31608703_lamp2.pdf
OPPM,GSS,NonGSS,GSS,obligasi_biasa,green,True,berwawasan lingkungan,Obligasi Berwawasan Lingkungan Berkelanj,0.28,waste_management:0.33,,0.332,0.7,20240326_OPPM_Laporan Informasi dan Fakta Material_31619625_lamp2.pdf
OPPM,GSS,GSS,GSS,green,green,True,berwawasan lingkungan|green bond,Obligasi Berwawasan Lingkungan Berkelanj,0.28,energy_efficiency:0.57|green_building:0.53|natural_resources:0.51|renewable_energy:0.49|green_tourism:0.48|waste_management:0.47|water_management:0.44|climate_resilience:0.44,employment_msme:0.44|basic_infrastructure:0.42|food_security:0.40|essential_services:0.35|socioeconomic:0.33|affordable_housing:0.28,0.574,0.88,20240426_OPPM_Laporan Informasi dan Fakta Material_31630073_lamp2.pdf
OPPM,GSS,GSS,GSS,green,green,True,berwawasan lingkungan|green bond,Obligasi Berwawasan Lingkungan Berkelanj,0.28,energy_efficiency:0.57|green_building:0.53|natural_resources:0.51|renewable_energy:0.49|green_tourism:0.48|waste_management:0.47|water_management:0.44|climate_resilience:0.44,employment_msme:0.44|basic_infrastructure:0.42|food_security:0.40|essential_services:0.35|socioeconomic:0.33|affordable_housing:0.28,0.574,0.88,20240517_OPPM_Laporan Informasi dan Fakta Material_31640227_lamp2.pdf
OPPM,GSS,NonGSS,GSS,obligasi_biasa,green,True,berwawasan lingkungan,Obligasi Berwawasan Lingkungan Berkelanj,0.28,waste_management:0.32,,0.321,0.7,20240517_OPPM_Laporan Informasi dan Fakta Material_31640243_lamp2.pdf
OPPM,GSS,GSS,GSS,green,green,True,berwawasan lingkungan|green bond,Obligasi Berwawasan Lingkungan Berkelanj,0.28,energy_efficiency:0.57|green_building:0.53|natural_resources:0.51|renewable_energy:0.49|green_tourism:0.48|waste_management:0.47|water_management:0.44|climate_resilience:0.44,employment_msme:0.44|basic_infrastructure:0.42|food_security:0.40|essential_services:0.35|socioeconomic:0.33|affordable_housing:0.28,0.574,0.88,20240703_OPPM_Laporan Informasi dan Fakta Material_31678826_lamp2.pdf
OPPM,GSS,GSS,GSS,green,green,True,berwawasan lingkungan|green bond,Obligasi Berwawasan Lingkungan Berkelanj,0.28,energy_efficiency:0.57|green_building:0.53|natural_resources:0.51|renewable_energy:0.49|green_tourism:0.48|waste_management:0.47|water_management:0.44|climate_resilience:0.44,employment_msme:0.44|basic_infrastructure:0.42|food_security:0.40|essential_services:0.35|socioeconomic:0.33|affordable_housing:0.28,0.574,0.88,20240716_OPPM_Laporan Informasi dan Fakta Material_31684428_lamp2.pdf
OPPM,GSS,NonGSS,GSS,obligasi_biasa,green,True,berwawasan lingkungan,Obligasi Berwawasan Lingkungan Berkelanj,0.28,,,0.274,0.7,20240717_OPPM_Laporan Informasi dan Fakta Material_31684753_lamp2.pdf
PNMP,GSS,NonGSS,GSS,obligasi_biasa,social,True,berwawasan sosial,Sukuk Mudharabah Berwawasan Sosial Orang,0.28,energy_efficiency:0.36|green_tourism:0.33|natural_resources:0.33|waste_management:0.30|green_building:0.30|renewable_energy:0.29|water_management:0.28,employment_msme:0.56|socioeconomic:0.52|essential_services:0.49|food_security:0.49|basic_infrastructure:0.42|affordable_housing:0.39,0.556,0.7,20250926_PNMP_Penyampaian Prospektus_Informasi Tambahan_31952663_lamp1.pdf
PNMP,GSS,GSS,GSS,social,social,True,berwawasan sosial,Sukuk Mudharabah Berwawasan Sosial Orang,0.28,,,0.236,0.7,20250926_PNMP_Penyampaian Prospektus_Informasi Tambahan_31952663_lamp2.pdf
PNMP,GSS,NonGSS,GSS,obligasi_biasa,social,True,berwawasan sosial,Sukuk Mudharabah Berwawasan Sosial Orang,0.28,,essential_services:0.31,0.307,0.7,20251013_PNMP_Penyampaian Prospektus_Informasi Tambahan_31967162_lamp2.pdf
PNMP,GSS,GSS,GSS,social,social,True,berwawasan sosial,Sukuk Mudharabah Berwawasan Sosial Orang,0.28,energy_efficiency:0.30,food_security:0.39|basic_infrastructure:0.38|socioeconomic:0.34|affordable_housing:0.30,0.390,0.7,20251215_PNMP_Penyampaian Prospektus_Informasi Tambahan_32013124_lamp1.pdf
PNMP,GSS,NonGSS,GSS,obligasi_biasa,social,True,berwawasan sosial,Sukuk Mudharabah Berwawasan Sosial Orang,0.28,energy_efficiency:0.35|green_tourism:0.35|natural_resources:0.34|green_building:0.30|climate_resilience:0.30|water_management:0.29,employment_msme:0.54|socioeconomic:0.52|essential_services:0.50|food_security:0.49|basic_infrastructure:0.46|affordable_housing:0.41,0.544,0.7,20251215_PNMP_Penyampaian Prospektus_Informasi Tambahan_32013124_lamp2.pdf
PNMP,GSS,NonGSS,GSS,obligasi_biasa,social,True,berwawasan sosial,Sukuk Mudharabah Berwawasan Sosial Orang,0.28,energy_efficiency:0.37|green_tourism:0.35|natural_resources:0.33|green_building:0.31|water_management:0.30|waste_management:0.30|climate_resilience:0.30|renewable_energy:0.29,employment_msme:0.53|socioeconomic:0.50|essential_services:0.48|food_security:0.46|basic_infrastructure:0.43|affordable_housing:0.38,0.530,0.7,20260311_PNMP_Penyampaian Prospektus_Informasi Tambahan_32053316_lamp1.pdf
PNMP,GSS,GSS,GSS,social,social,True,berwawasan sosial,Sukuk Mudharabah Berwawasan Sosial Orang,0.28,energy_efficiency:0.33|water_management:0.30,basic_infrastructure:0.41|socioeconomic:0.37|food_security:0.36|essential_services:0.33|employment_msme:0.29|affordable_housing:0.28,0.405,0.82,20260402_PNMP_Penyampaian Prospektus_Informasi Tambahan_32057366_lamp1.pdf
PNMP,GSS,NonGSS,GSS,obligasi_biasa,social,True,berwawasan sosial,Sukuk Mudharabah Berwawasan Sosial Orang,0.28,,essential_services:0.31,0.307,0.7,20260402_PNMP_Penyampaian Prospektus_Informasi Tambahan_32057366_lamp2.pdf
POLI,GSS,GSS,GSS,sustainability_linked,sustainability_linked,True,pojk 18/2023,Obligasi Terkait Keberlanjutan I Pollux ,0.28,,,,0.9,20251201_POLI_Penyampaian Prospektus_Informasi Tambahan_31998689_lamp1.pdf
PPGD,GSS,NonGSS,GSS,obligasi_biasa,social,True,berwawasan sosial|obligasi sosial,Obligasi Berwawasan Sosial Berkelanjutan,0.28,renewable_energy:0.32|green_tourism:0.32|energy_efficiency:0.30|green_building:0.30|natural_resources:0.28,employment_msme:0.54|essential_services:0.50|socioeconomic:0.49|food_security:0.47|basic_infrastructure:0.42|affordable_housing:0.40,0.537,0.7,20250509_PPGD_Laporan Informasi dan Fakta Material_31885046_lamp2.pdf
PPGD,GSS,NonGSS,GSS,obligasi_biasa,social,True,berwawasan sosial,Obligasi Berwawasan Sosial Berkelanjutan,0.28,renewable_energy:0.33,food_security:0.29,0.329,0.7,20251024_PPGD_Penyampaian Prospektus_Informasi Tambahan_31979517_lamp2.pdf
PPGD,GSS,NonGSS,GSS,obligasi_biasa,social,True,berwawasan sosial|obligasi sosial,Obligasi Berwawasan Sosial Berkelanjutan,0.28,climate_resilience:0.37|energy_efficiency:0.31|renewable_energy:0.29,food_security:0.50|employment_msme:0.44|affordable_housing:0.42|socioeconomic:0.41|essential_services:0.41|basic_infrastructure:0.38,0.498,0.7,20251106_PPGD_Penyampaian Prospektus_Informasi Tambahan_31983189_lamp2.pdf
SMFP,GSS,NonGSS,GSS,obligasi_biasa,social,True,social bond,Obligasi Berwawasan Sosial Berkelanjutan,0.28,,,0.194,0.7,20240308_SMFP_Penyampaian Prospektus_Informasi Tambahan_31595462.pdf
SMFP,GSS,NonGSS,GSS,obligasi_biasa,social,True,berwawasan sosial,Obligasi Berwawasan Sosial Berkelanjutan,0.28,,food_security:0.29,0.288,0.7,20240308_SMFP_Penyampaian Prospektus_Informasi Tambahan_31595462_lamp2.pdf
SMII,GSS,NonGSS,GSS,obligasi_biasa,sustainability,True,sustainability bond,Obligasi Keberlanjutan Berkelanjutan I S,0.28,green_building:0.29,,0.287,0.7,20260413_SMII_Penyampaian Prospektus_Informasi Tambahan_32070406.pdf
SMII,GSS,NonGSS,GSS,obligasi_biasa,sustainability,True,berwawasan lingkungan|berwawasan sosial,Obligasi Keberlanjutan Berkelanjutan I S,0.28,natural_resources:0.41|green_tourism:0.40|energy_efficiency:0.37|green_building:0.37|water_management:0.36|waste_management:0.35|climate_resilience:0.32,employment_msme:0.53|essential_services:0.44|socioeconomic:0.43|food_security:0.40|basic_infrastructure:0.40|affordable_housing:0.32,0.531,0.7,20260413_SMII_Penyampaian Prospektus_Informasi Tambahan_32070406_lamp2.pdf
SMII,GSS,NonGSS,GSS,obligasi_biasa,sustainability,True,berwawasan lingkungan|berwawasan sosial,Obligasi Keberlanjutan Berkelanjutan I S,0.28,natural_resources:0.43|green_tourism:0.41|green_building:0.39|energy_efficiency:0.38|water_management:0.37|waste_management:0.35|climate_resilience:0.34|renewable_energy:0.31,employment_msme:0.52|socioeconomic:0.43|essential_services:0.43|food_security:0.41|basic_infrastructure:0.40|affordable_housing:0.34,0.520,0.7,20260430_SMII_Penyampaian Prospektus_Informasi Tambahan_32076553_lamp2.pdf
SMII,GSS,NonGSS,GSS,obligasi_biasa,sustainability,True,,Obligasi Keberlanjutan Berkelanjutan I S,0.28,,,0.187,0.7,20260504_SMII_Penyampaian Prospektus_Informasi Tambahan_32076947_lamp1.pdf
ADHI,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.292,0.88,20240621_ADHI_Penyampaian Prospektus_Informasi Tambahan_31663323_lamp1.pdf
ADMF,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.289,0.88,20260223_ADMF_Penyampaian Prospektus_Informasi Tambahan_32028738_lamp1.pdf
ADRO,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,None,,,0.52,,,0.322,0.8,20241129_ADRO_Penyampaian Prospektus_Informasi Tambahan_31792715_lamp1.pdf
ASDF,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.274,0.88,20240418_ASDF_Penyampaian Prospektus_Informasi Tambahan_31627152_lamp1.pdf
BABY,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,None,,,0.52,,,0.351,0.74,20260213_BABY_Penyampaian Prospektus_Informasi Tambahan_32027582_lamp1.pdf
BANK,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.253,0.88,20250923_BANK_Laporan Informasi dan Fakta Material_31951842_lamp1.pdf
BBIA,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.169,0.88,20240529_BBIA_Penyampaian Bukti Iklan_31643716_lamp3.pdf
BBKP,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.297,0.88,20250827_BBKP_Penyampaian Prospektus_Informasi Tambahan_31935348_lamp2.pdf
BBYB,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,None,,,0.52,,,0.217,0.88,20240703_BBYB_Penyampaian Bukti Iklan_31679227_lamp1.pdf
BEKS,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,None,,,0.52,,,0.278,0.88,20250418_BEKS_Laporan Informasi dan Fakta Material_31876514_lamp1.pdf
BFIN,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.381,0.88,20240919_BFIN_Penyampaian Prospektus_Informasi Tambahan_31727057_lamp1.pdf
BIIF,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.376,0.88,20240626_BIIF_Penyampaian Bukti Iklan_31675715_lamp3.pdf
BMTR,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.507,0.63,20250527_BMTR_Laporan Informasi dan Fakta Material_31889467_lamp1.pdf
BTPN,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,social bond|sustainability bond,,0.45,,,0.342,0.62,20240229_BTPN_Penyampaian Prospektus_Informasi Tambahan_31582114_lamp2.pdf
BUMI,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.237,0.88,20250619_BUMI_Penyampaian Bukti Iklan_31896618_lamp1.pdf
BUVA,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,None,,,0.52,,,0.294,0.85,20251028_BUVA_Penyampaian Prospektus_Informasi Tambahan_31980004_lamp1.pdf
BVIC,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.516,0.61,20240612_BVIC_Penyampaian Bukti Iklan_31660859_lamp1.pdf
BWPT,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.370,0.88,20240712_BWPT_Penyampaian Bukti Iklan_31683365_lamp1.pdf
CARE,NonGSS,GSS,NonGSS,social,obligasi_biasa,False,,,0.62,,,0.411,0.82,20250514_CARE_Laporan Informasi dan Fakta Material_31885516_lamp1.pdf
CNAF,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.402,0.84,20240628_CNAF_Penyampaian Prospektus_Informasi Tambahan_31676982_lamp2.pdf
COCO,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.268,0.88,20250721_COCO_Laporan Informasi dan Fakta Material_31916233_lamp1.pdf
CSIS,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,None,,,0.52,,,0.296,0.85,20251212_CSIS_Laporan Informasi dan Fakta Material_32012858_lamp2.pdf
DSSA,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.313,0.88,20240401_DSSA_Penyampaian Bukti Iklan_31622216_lamp1.pdf
DWGL,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.236,0.88,20250521_DWGL_Penyampaian Prospektus_Informasi Tambahan_31887736_lamp2.pdf
FASW,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,None,,,0.52,,,0.319,0.8,20250612_FASW_Penyampaian Prospektus_Informasi Tambahan_31894454_lamp1.pdf
FILM,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,None,,,0.52,,,0.343,0.75,20250630_FILM_Penyampaian Prospektus_Informasi Tambahan_31910018_lamp2.pdf
FITT,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,None,,,0.52,,,0.309,0.82,20240322_FITT_Penyampaian Prospektus_Informasi Tambahan_31608814_lamp1.pdf
FREN,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,None,,,0.52,,,0.356,0.73,20240419_FREN_Penyampaian Prospektus_Informasi Tambahan_31627440_lamp1.pdf
HATM,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,None,,,0.52,,,0.310,0.82,20250527_HATM_Penyampaian Prospektus_Informasi Tambahan_31889645_lamp1.pdf
HIFI,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.262,0.88,20240628_HIFI_Penyampaian Prospektus_Informasi Tambahan_31676584_lamp2.pdf
HRTA,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,False,,,0.62,,,0.383,0.87,20240828_HRTA_Laporan Informasi dan Fakta Material_31719573_lamp2.pdf
IMJS,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,None,,,0.52,,,0.478,0.48,20250915_IMJS_Laporan Informasi dan Fakta Material_31950151_lamp1.pdf
INCO,NonGSS,NonGSS,NonGSS,obligasi_biasa,obligasi_biasa,None,,,0.52,,,0.263,0.88,20240610_INCO_Penyampaian Prospektus_Informasi Tambahan_31659841_lamp2.pdf
