IssuerCode,BondName,BondNameGold,Series,GSSType,IssueDate,MatureDate,Outstanding,Rating,Aktif,Source,PDFFile
BBRI,Obligasi Berwawasan Sosial Berkelanjutan I Bank BRI Tahap II Tahun 2026 Seri A,"Obligasi Berwawasan Sosial terdiri dari 3 (tiga) seri, yaitu Obligasi Berwawasan Sosial Seri A, Obligasi Berwawasan Sosial Seri B, dan Obligasi Berwawasan Sosial Seri C, yang masing-masing ditawarkan sebesar",A,social,2026-02-27,2027-03-27,1236245000000.0,idAAA,True,IDX + Gold,20260227_BBRI_Penyampaian Prospektus_Informasi Tambahan_32029855_lamp2.pdf
BBRI,Obligasi Berwawasan Sosial Berkelanjutan I Bank BRI Tahap II Tahun 2026 Seri B,"Obligasi Berwawasan Sosial terdiri dari 3 (tiga) seri, yaitu Obligasi Berwawasan Sosial Seri A, Obligasi Berwawasan Sosial Seri B, dan Obligasi Berwawasan Sosial Seri C, yang masing-masing ditawarkan sebesar",B,social,2026-02-27,2029-03-17,2666255000000.0,idAAA,True,IDX + Gold,20260227_BBRI_Penyampaian Prospektus_Informasi Tambahan_32029855_lamp2.pdf
BBRI,Obligasi Berwawasan Sosial Berkelanjutan I Bank BRI Tahap II Tahun 2026 Seri C,"Obligasi Berwawasan Sosial terdiri dari 3 (tiga) seri, yaitu Obligasi Berwawasan Sosial Seri A, Obligasi Berwawasan Sosial Seri B, dan Obligasi Berwawasan Sosial Seri C, yang masing-masing ditawarkan sebesar",C,social,2026-02-27,2031-03-17,1097500000000.0,idAAA,True,IDX + Gold,20260227_BBRI_Penyampaian Prospektus_Informasi Tambahan_32029855_lamp2.pdf
BBTN,Obligasi Berwawasan Sosial Berkelanjutan I Bank BTN Tahap I Tahun 2025,Obligasi Berwawasan Sosial ini diterbitkan tanpa warkat kecuali Sertifikat Jumbo Obligasi Berwawasan Sosial yang diterbitkan oleh Perseroan atas nama PT Kustodian Sentral Efek Indonesia (“KSEI”). Obligasi Berwawasan Sosial,,social,2025-11-21,2028-12-12,300000000000.0,idAAA,True,IDX + Gold,20251121_BBTN_Penyampaian Prospektus_Informasi Tambahan_31986864_lamp1.pdf
BJBR,Obligasi Keberlanjutan Berkelanjutan I Bank BJB Tahap I Tahun 2024 Seri A,sedangkan Bunga Obligasi Keberlanjutan terakhir sekaligus jatuh tempo Obligasi Keberlanjutan,A,sustainability,2024-12-04,2027-12-10,200000000000.0,idAA,True,IDX + Gold,20241204_BJBR_Penyampaian Bukti Iklan_31804995_lamp2.pdf
BJBR,Obligasi Keberlanjutan Berkelanjutan I Bank BJB Tahap I Tahun 2024 Seri B,sedangkan Bunga Obligasi Keberlanjutan terakhir sekaligus jatuh tempo Obligasi Keberlanjutan,B,sustainability,2024-12-04,2029-12-10,800000000000.0,idAA,True,IDX + Gold,20241204_BJBR_Penyampaian Bukti Iklan_31804995_lamp2.pdf
BMRI,Obligasi Keberlanjutan Berkelanjutan I Bank Mandiri Tahap I Tahun 2025 Seri A,ditawarkan sebesar 100% (seratus persen) dari jumlah Pokok Obligasi Berwawasan Lingkungan. Obligasi Berwawasan Lingkungan ini diterbitkan tanpa warkat kecuali Sertifikat,A,sustainability,2025-03-04,2026-12-29,1000000000000.0,idAAA,True,IDX + Gold,20250304_BMRI_Penyampaian Prospektus_Informasi Tambahan_31866147_lamp1.pdf
BMRI,Obligasi Keberlanjutan Berkelanjutan I Bank Mandiri Tahap I Tahun 2025 Seri B,ditawarkan sebesar 100% (seratus persen) dari jumlah Pokok Obligasi Berwawasan Lingkungan. Obligasi Berwawasan Lingkungan ini diterbitkan tanpa warkat kecuali Sertifikat,B,sustainability,2025-03-04,2028-12-19,2000000000000.0,idAAA,True,IDX + Gold,20250304_BMRI_Penyampaian Prospektus_Informasi Tambahan_31866147_lamp1.pdf
OPPM,Obligasi Berwawasan Lingkungan Berkelanjutan I Oki Pulp & Paper Mills Tahap I Tahun 2023 Seri B,Obligasi USD dan Obligasi Berwawasan Lingkungan,B,green,2023-09-15,2026-10-12,1042090000000.0,idA+,True,IDX + Gold,20230915_OPPM_Penyampaian Bukti Iklan_31410745_lamp2.pdf
OPPM,Obligasi Berwawasan Lingkungan Berkelanjutan I Oki Pulp & Paper Mills Tahap I Tahun 2023 Seri C,Obligasi USD dan Obligasi Berwawasan Lingkungan,C,green,2023-09-15,2028-10-12,257910000000.0,idA+,True,IDX + Gold,20230915_OPPM_Penyampaian Bukti Iklan_31410745_lamp2.pdf
PNMP,Obligasi Berwawasan Sosial Orange Berkelanjutan I PNM Tahap II Tahun 2026 Seri A,"Obligasi Berwawasan Sosial Orange ini diterbitkan tanpa warkat, kecuali Sertifikat Jumbo Obligasi Berwawasan Sosial Orange yang diterbitkan atas nama PT Kustodian Sentral Efek Indonesia (“KSEI”) sebagai bukti kepemilikan Efek untuk",,social,2026-03-11,2029-01-14,250000000000.0,idAAA,True,IDX + Gold,20260311_PNMP_Penyampaian Prospektus_Informasi Tambahan_32053316_lamp1.pdf
PNMP,Sukuk Mudharabah Berwawasan Sosial Orange Berkelanjutan I PNM Tahap I Tahun 2025 Seri A,"Efek Indonesia (“KSEI”) sebagai bukti kepemilikan Efek Syariah untuk kepentingan Pemegang Sukuk Mudharabah Berwawasan Sosial Orange, dan terdiri atas 3 (tiga) seri yang memberikan pilihan",,social,2025-09-26,2026-07-18,989995000000.0,idAAA(sy),True,IDX + Gold,20250926_PNMP_Penyampaian Prospektus_Informasi Tambahan_31952663_lamp1.pdf
POLI,Obligasi Terkait Keberlanjutan I Pollux Hotels Group Tahun 2025 Seri A,"Obligasi Terkait Keberlanjutan ini diterbitkan tanpa warkat, kecuali Sertifikat Jumbo Obligasi Terkait Keberlanjutan yang aka n diterbitkan oleh Perseroan atas nama PT",A,sustainability_linked,2025-12-01,2028-12-10,55000000000.0,idAAA(cg),True,IDX + Gold,20251201_POLI_Penyampaian Prospektus_Informasi Tambahan_31998689_lamp1.pdf
POLI,Obligasi Terkait Keberlanjutan I Pollux Hotels Group Tahun 2025 Seri B,"Obligasi Terkait Keberlanjutan ini diterbitkan tanpa warkat, kecuali Sertifikat Jumbo Obligasi Terkait Keberlanjutan yang aka n diterbitkan oleh Perseroan atas nama PT",B,sustainability_linked,2025-12-01,2030-12-10,445000000000.0,idAAA(cg),True,IDX + Gold,20251201_POLI_Penyampaian Prospektus_Informasi Tambahan_31998689_lamp1.pdf
PPGD,Obligasi Berwawasan Sosial Berkelanjutan I Pegadaian Tahap II Tahun 2025 Seri B,"PT PEGADAIAN (“PERSEROAN”) DAN PARA PENJAMIN PELAKSANA EMISI OBLIGASI DAN SUKUK MUDHARABAH BERWAWASAN SOSIAL BERTANGGUNG JAWAB SEPENUHNYA ATAS KEBENARAN SEMUA INFORMASI, FAKTA, DATA",,social,2025-11-06,2028-05-28,985590000000.0,idAAA,True,IDX + Gold,20251106_PPGD_Penyampaian Prospektus_Informasi Tambahan_31983189_lamp2.pdf
PPGD,Sukuk Mudharabah Berwawasan Sosial Berkelanjutan I Pegadaian Tahap III Tahun 2025 Seri A,"PT PEGADAIAN (“PERSEROAN”) DAN PARA PENJAMIN PELAKSANA EMISI OBLIGASI DAN SUKUK MUDHARABAH BERWAWASAN SOSIAL BERTANGGUNG JAWAB SEPENUHNYA ATAS KEBENARAN SEMUA INFORMASI, FAKTA, DATA",A,social,2025-10-24,2026-11-23,1300000000000.0,idAAA(sy),True,IDX + Gold,20251024_PPGD_Penyampaian Prospektus_Informasi Tambahan_31979517_lamp2.pdf
SMII,Obligasi Keberlanjutan Berkelanjutan I Sarana Multi Infrastruktur Tahap II Tahun 2026 Seri A,"OBLIGASI KEBERLANJUTAN BERKELANJUTAN I SARANA MULTI INFRASTRUKTUR TAHAP II TAHUN 2026 DENGAN JUMLAH POKOK OBLIGASI SEBANYAK-BANYAKNYA SEBESAR Rp300.000.000.000,- (TIGA",A,sustainability,2026-04-13,2027-05-16,72128000000.0,idAAA,True,IDX + Gold,20260413_SMII_Penyampaian Prospektus_Informasi Tambahan_32070406_lamp2.pdf
SMII,Obligasi Keberlanjutan Berkelanjutan I Sarana Multi Infrastruktur Tahap II Tahun 2026 Seri B,"OBLIGASI KEBERLANJUTAN BERKELANJUTAN I SARANA MULTI INFRASTRUKTUR TAHAP II TAHUN 2026 DENGAN JUMLAH POKOK OBLIGASI SEBANYAK-BANYAKNYA SEBESAR Rp300.000.000.000,- (TIGA",B,sustainability,2026-04-13,2029-05-06,77872000000.0,idAAA,True,IDX + Gold,20260413_SMII_Penyampaian Prospektus_Informasi Tambahan_32070406_lamp2.pdf
BBNI,BBNI GSS 2022 Seri A (tidak di IDX),Tingkat bunga Green Bond merupakan persentase per tahun dari nilai nominal yang dihitung berdasarkan,A,green,2022-06-22,,,,False,Gold Dataset,20220622_BBNI_Penyampaian Bukti Iklan.pdf
BBRI,BBRI GSS 2022 Seri A (tidak di IDX),"Obligasi Berwawasan Lingkungan terdiri dari 3 (tiga) seri, yaitu Obligasi Berwawasan Lingkungan Seri A, Obligasi Berwawasan Lingkungan Seri B, dan Obligasi Berwawasan Lingkungan Seri C, yang masing-masing",A,green,2022-07-21,,,,False,Gold Dataset,20220721_BBRI_Penyampaian Prospektus_Informasi Tambahan.pdf
BBRI,BBRI GSS 2022 Seri B (tidak di IDX),"Obligasi Berwawasan Lingkungan terdiri dari 3 (tiga) seri, yaitu Obligasi Berwawasan Lingkungan Seri A, Obligasi Berwawasan Lingkungan Seri B, dan Obligasi Berwawasan Lingkungan Seri C, yang masing-masing",B,green,2022-07-21,,,,False,Gold Dataset,20220721_BBRI_Penyampaian Prospektus_Informasi Tambahan.pdf
BBRI,BBRI GSS 2023 Seri A (tidak di IDX),"Obligasi Berwawasan Lingkungan terdiri dari 3 (tiga) seri, yaitu Obligasi Berwawasan Lingkungan Seri A, Obligasi Berwawasan Lingkungan Seri B, dan Obligasi Berwawasan Lingkungan Seri C, yang masing-masing ditawarkan sebesar",A,green,2023-09-25,,,,False,Gold Dataset,20230925_BBRI_Penyampaian Prospektus_Informasi Tambahan_31422829_lamp1.pdf
BBRI,BBRI GSS 2023 Seri B (tidak di IDX),"Obligasi Berwawasan Lingkungan terdiri dari 3 (tiga) seri, yaitu Obligasi Berwawasan Lingkungan Seri A, Obligasi Berwawasan Lingkungan Seri B, dan Obligasi Berwawasan Lingkungan Seri C, yang masing-masing ditawarkan sebesar",B,green,2023-09-25,,,,False,Gold Dataset,20230925_BBRI_Penyampaian Prospektus_Informasi Tambahan_31422829_lamp1.pdf
BBRI,BBRI GSS 2024 Seri A (tidak di IDX),"Obligasi Berwawasan Lingkungan terdiri dari 3 (tiga) seri, yaitu Obligasi Berwawasan Lingkungan Seri A, Obligasi Berwawasan Lingkungan Seri B, dan Obligasi Berwawasan Lingkungan Seri C, yang masing-masing ditawarkan sebesar",A,green,2024-02-26,,,,False,Gold Dataset,20240226_BBRI_Penyampaian Prospektus_Informasi Tambahan_31581036_lamp1.pdf
BBRI,BBRI GSS 2024 Seri B (tidak di IDX),"Obligasi Berwawasan Lingkungan terdiri dari 3 (tiga) seri, yaitu Obligasi Berwawasan Lingkungan Seri A, Obligasi Berwawasan Lingkungan Seri B, dan Obligasi Berwawasan Lingkungan Seri C, yang masing-masing ditawarkan sebesar",B,green,2024-02-26,,,,False,Gold Dataset,20240226_BBRI_Penyampaian Prospektus_Informasi Tambahan_31581036_lamp1.pdf
BRIS,BRIS GSS 2025 Seri A (tidak di IDX),PENAWARAN UMUM BERKELANJUTAN SUKUK MUDHARABAH BERLANDASKAN KEBERLANJUTAN BERKELANJUTAN I BANK BSI TAHAP II TAHUN 2025 (“SUKUK MUDHARABAH”),A,sustainability,2025-05-28,,,,False,Gold Dataset,20250528_BRIS_Penyampaian Prospektus_Informasi Tambahan_31890157_lamp2.pdf
OPPM,OPPM GSS 2023 Seri A (tidak di IDX),Obligasi USD dan Obligasi Berwawasan Lingkungan,A,green,2023-09-15,,,,False,Gold Dataset,20230915_OPPM_Penyampaian Bukti Iklan_31410745_lamp2.pdf
